Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-09 20:21:56.573134	,158	,0.9398,	0.0000,	0.2220
2024-04-09 20:22:05.891429	,159	,0.9359,	0.0000,	0.2393
2024-04-09 20:22:15.175753	,160	,0.9481,	0.0000,	0.2533
2024-04-09 20:22:24.366382	,161	,0.9218,	0.0000,	0.2347
2024-04-09 20:22:33.512906	,162	,0.9847,	0.0000,	0.1967
2024-04-09 20:22:42.618112	,163	,0.9450,	0.0000,	0.2367
2024-04-09 20:22:51.807340	,164	,0.9560,	0.0000,	0.2247
2024-04-09 20:23:01.107512	,165	,0.9864,	0.0000,	0.2180
2024-04-09 20:23:10.316701	,166	,0.9845,	0.0000,	0.2220
2024-04-09 20:23:19.413245	,167	,0.9301,	0.0000,	0.2393
2024-04-09 20:23:28.539501	,168	,0.9668,	0.0000,	0.2533
2024-04-09 20:23:37.590924	,169	,0.9308,	0.0000,	0.2347
2024-04-09 20:23:46.688364	,170	,0.9319,	0.0000,	0.1967
2024-04-09 20:23:55.817882	,171	,0.8942,	0.0000,	0.2367
2024-04-09 20:24:04.863307	,172	,0.9996,	0.0000,	0.2247
2024-04-09 20:24:14.003857	,173	,0.9376,	0.0000,	0.2180
2024-04-09 20:24:23.136668	,174	,0.9384,	0.0000,	0.2220
2024-04-09 20:24:32.243346	,175	,0.9054,	0.0000,	0.2393
2024-04-09 20:24:41.299518	,176	,0.9463,	0.0000,	0.2533
2024-04-09 20:24:50.577126	,177	,0.9329,	0.0000,	0.2347
2024-04-09 20:24:59.814377	,178	,0.9379,	0.0000,	0.1967
2024-04-09 20:25:09.130537	,179	,0.9724,	0.0000,	0.2367
2024-04-09 20:25:18.372484	,180	,0.9563,	0.0000,	0.2247
2024-04-09 20:25:27.560006	,181	,0.8704,	0.0000,	0.2180
2024-04-09 20:25:36.722319	,182	,0.9022,	0.0000,	0.2220
2024-04-09 20:25:45.920388	,183	,0.9326,	0.0000,	0.2393
2024-04-09 20:25:55.143730	,184	,0.9610,	0.0000,	0.2533
2024-04-09 20:26:04.193673	,185	,0.8846,	0.0000,	0.2347
2024-04-09 20:26:13.409165	,186	,0.9313,	0.0000,	0.1967
2024-04-09 20:26:22.587471	,187	,0.9140,	0.0000,	0.2367
2024-04-09 20:26:31.812431	,188	,0.8907,	0.0000,	0.2247
2024-04-09 20:26:40.988022	,189	,0.8604,	0.0000,	0.2180
2024-04-09 20:26:50.197124	,190	,0.9106,	0.0000,	0.2220
2024-04-09 20:26:59.341054	,191	,0.9256,	0.0000,	0.2393
2024-04-09 20:27:08.493499	,192	,0.9286,	0.0000,	0.2533
2024-04-09 20:27:17.662182	,193	,0.8929,	0.0000,	0.2347
2024-04-09 20:27:26.863727	,194	,0.8755,	0.0000,	0.1967
2024-04-09 20:27:35.994774	,195	,0.8951,	0.0000,	0.2367
2024-04-09 20:27:45.210580	,196	,0.8978,	0.0000,	0.2247
2024-04-09 20:27:54.414662	,197	,0.9162,	0.0000,	0.2180
2024-04-09 20:28:03.470279	,198	,0.9197,	0.0000,	0.2220
2024-04-09 20:28:12.455331	,199	,0.9437,	0.0000,	0.2393
2024-04-09 20:28:21.530282	,200	,0.9486,	0.0000,	0.2533
2024-04-09 20:28:30.730802	,201	,0.8892,	0.0000,	0.2347
2024-04-09 20:28:39.949353	,202	,0.8881,	0.0000,	0.1967
2024-04-09 20:28:49.080743	,203	,0.8752,	0.0000,	0.2367
2024-04-09 20:28:58.238323	,204	,0.9034,	0.0000,	0.2247
2024-04-09 20:29:07.445420	,205	,0.9042,	0.0000,	0.2180
2024-04-09 20:29:16.690975	,206	,0.8990,	0.0000,	0.2220
2024-04-09 20:29:26.121462	,207	,0.8848,	0.0000,	0.2393
2024-04-09 20:29:35.452665	,208	,0.8965,	0.0000,	0.2533
2024-04-09 20:29:44.745423	,209	,0.8764,	0.0000,	0.2347
2024-04-09 20:29:53.910909	,210	,0.8646,	0.0000,	0.1967
2024-04-09 20:30:03.143233	,211	,0.8652,	0.0000,	0.2367
2024-04-09 20:30:12.349608	,212	,0.8817,	0.0000,	0.2247
2024-04-09 20:30:21.681790	,213	,0.8626,	0.0000,	0.2180
2024-04-09 20:30:30.809119	,214	,0.9063,	0.0000,	0.2220
2024-04-09 20:30:39.957330	,215	,0.8553,	0.0000,	0.2393
2024-04-09 20:30:49.067267	,216	,0.9270,	0.0000,	0.2533
2024-04-09 20:30:58.176524	,217	,0.9075,	0.0000,	0.2347
2024-04-09 20:31:07.325955	,218	,0.8773,	0.0000,	0.1967
2024-04-09 20:31:16.389205	,219	,0.8685,	0.0000,	0.2367
2024-04-09 20:31:25.384751	,220	,0.8537,	0.0000,	0.2247
2024-04-09 20:31:34.450936	,221	,0.8953,	0.0000,	0.2180
2024-04-09 20:31:43.522901	,222	,0.8588,	0.0000,	0.2220
2024-04-09 20:31:52.477148	,223	,0.8991,	0.0000,	0.2393
2024-04-09 20:32:01.552819	,224	,0.8447,	0.0000,	0.2533
2024-04-09 20:32:10.399570	,225	,0.8796,	0.0000,	0.2347
2024-04-09 20:32:19.400243	,226	,0.8914,	0.0000,	0.1967
2024-04-09 20:32:28.310460	,227	,0.8536,	0.0000,	0.2367
2024-04-09 20:32:37.360951	,228	,0.8808,	0.0000,	0.2247
2024-04-09 20:32:46.343015	,229	,0.8682,	0.0000,	0.2180
2024-04-09 20:32:55.407461	,230	,0.8622,	0.0000,	0.2220
2024-04-09 20:33:04.306197	,231	,0.8420,	0.0000,	0.2393
2024-04-09 20:33:13.252634	,232	,0.8940,	0.0000,	0.2533
2024-04-09 20:33:22.230409	,233	,0.8496,	0.0000,	0.2347
2024-04-09 20:33:31.231226	,234	,0.8884,	0.0000,	0.1967
2024-04-09 20:33:40.102508	,235	,0.8428,	0.0000,	0.2367
2024-04-09 20:33:49.120404	,236	,0.8691,	0.0000,	0.2247
2024-04-09 20:33:58.111056	,237	,0.8487,	0.0000,	0.2180
2024-04-09 20:34:07.047083	,238	,0.8533,	0.0000,	0.2220
2024-04-09 20:34:16.021785	,239	,0.8541,	0.0000,	0.2393
2024-04-09 20:34:24.888752	,240	,0.8682,	0.0000,	0.2533
2024-04-09 20:34:33.908793	,241	,0.8902,	0.0000,	0.2347
2024-04-09 20:34:42.913687	,242	,0.8874,	0.0000,	0.1967
2024-04-09 20:34:52.033370	,243	,0.8426,	0.0000,	0.2367
2024-04-09 20:35:01.134239	,244	,0.8735,	0.0000,	0.2247
2024-04-09 20:35:10.671297	,245	,0.8253,	0.0000,	0.2180
2024-04-09 20:35:19.954832	,246	,0.8169,	0.0000,	0.2220
